,Country,Latitude,Longitude
0,Turkey,36.52,30.46
1,Turkey,40.58,28.42
2,Turkey,36.52,30.46
3,Turkey,37.02,27.27
4,Turkey,37.02,27.27
5,Turkey,40.08,26.24
6,Turkey,38.25,27.08
7,Turkey,36.53,35.56
8,Turkey,40.45,29.48
9,Turkey,40.21,27.5
10,Turkey,36.38,29.09
11,Turkey,40.25,29.05
12,Turkey,40.43,29.47
13,Turkey,40.43,29.47
14,Turkey,41.0,29.02
15,Turkey,41.25,41.24
16,Turkey,36.35,36.1
17,Turkey,41.01,28.57
18,Turkey,38.25,27.08
19,Turkey,40.46,29.54
20,Turkey,40.53,29.1
21,Turkey,36.5,28.19
22,Turkey,36.5,28.19
23,Turkey,36.47,34.37
24,Turkey,36.47,34.37
25,Turkey,41.19,36.2
26,Turkey,42.02,35.11
27,Cyprus,34.35,32.57
28,Cyprus,34.58,33.43
29,Cyprus,34.4,32.53
30,Cyprus,35.07,33.56
31,Cyprus,35.08,32.49
32,Cyprus,34.54,33.39
33,Cyprus,34.4,33.02
34,Cyprus,34.42,33.11
35,Cyprus,35.08,32.49
36,Cyprus,34.45,32.25
37,Cyprus,35.08,32.48
38,Israel,31.49,34.38
39,Israel,29.33,34.57
40,Israel,32.49,34.0
41,Israel,32.05,34.49
42,Israel,31.45,34.35
43,Israel,32.05,34.44
44,Lebanon,33.54,35.3
45,Lebanon,33.3,35.2
46,Lebanon,34.28,35.48
47,Egypt,29.02,33.07
48,Egypt,29.32,32.24
49,Egypt,31.11,29.52
50,Egypt,30.59,28.52
51,Egypt,28.14,33.36
52,Egypt,30.17,32.22
53,Egypt,30.2,32.17
54,Egypt,27.14,33.49
55,Egypt,26.06,34.16
56,Egypt,30.59,28.52
57,Egypt,31.15,32.17
58,Egypt,26.06,34.16
59,Egypt,26.56,33.08
60,Egypt,28.21,33.05
61,Egypt,28.08,33.16
62,Egypt,29.35,32.41
63,Egypt,26.44,34.0
64,Egypt,31.06,29.37
65,Egypt,29.35,32.41
66,Egypt,29.58,32.32
67,Egypt,28.14,33.36
68,Egypt,28.44,33.12
69,Egypt,27.5,33.36
